G183	G3068	1
G274	G3545	1
G202	G495	1
G1719	G187	1
G1802	G277	1
G1119	G13	1
G197	G2796	1
G1581	G236	1
G13	G3162	1
G106	G4469	1
G179	G3688	1
G260	G2707	1
G113	G2394	1
G55	G593	1
G1950	G260	1
G274	G4319	1
G2238	G55	1
G202	G3861	1
G2732	G278	1
G167	G1891	1
G1308	G260	1
G219	G2744	1
G106	G183	1
G3	G4027	1
G282	G855	1
G263	G3718	1
G589	G69	1
G1395	G55	1
G1119	G259	1
G1736	G23	1
G244	G3107	1
G193	G3274	1
G2340	G48	1
G172	G3199	1
G183	G4271	1
G187	G4344	1
G106	G1775	1
G172	G3127	1
G283	G3609	1
G1927	G254	1
G19	G3386	1
G3537	G56	1
G260	G323	1
G183	G2689	1
G145	G495	1
G334	G3993	1
G172	G19	1
G106	G3544	1
G305	G3153	1
G2479	G277	1
G150	G650	1
G1054	G13	1
G193	G2796	1
G178	G2897	1
G278	G791	1
G183	G809	1
G284	G333	1
G23	G3386	1
G179	G972	1
G2225	G274	1
G72	G912	1
G244	G3253	1
G263	G809	1
G260	G77	1
G1170	G299	1
G202	G3316	1
G23	G2765	1
G140	G3484	1
G48	G539	1
G260	G488	1
G1036	G169	1
G3993	G55	1
G236	G274	1
G106	G1817	1
G23	G4411	1
G2014	G284	1
G1581	G179	1
G151	G2763	1
G113	G1540	1
G1906	G244	1
G236	G4004	1
G202	G277	1
G235	G259	1
G333	G3423	1
G219	G3647	1
G1473	G99	1
G202	G3529	1
G121	G1328	1
G1526	G236	1
G179	G263	1
G172	G1888	1
G2645	G58	1
G183	G490	1
G223	G3718	1
G23	G331	1
G263	G2877	1
G1020	G172	1
G1532	G169	1
G150	G4246	1
G23	G3718	1
G23	G972	1
G1355	G326	1
G1743	G280	1
G244	G4434	1
G1540	G179	1
G254	G4415	1
G179	G1822	1
G138	G2388	1
G2527	G86	1
G1145	G4	1
G48	G782	1
G172	G56	1
G202	G2566	1
G1138	G84	1
G2137	G82	1
G172	G305	1
G23	G4271	1
G235	G2709	1
G152	G31	1
G305	G890	1
G168	G1838	1
G260	G3609	1
G23	G2689	1
G223	G263	1
G1965	G23	1
G1371	G263	1
G3609	G56	1
G23	G263	1
G2141	G236	1
G145	G3529	1
G263	G3919	1
G1008	G19	1
G260	G3068	1
G3373	G73	1
G3199	G83	1
G23	G809	1
G197	G3248	1
G145	G3129	1
G176	G855	1
G278	G3993	1
G1540	G208	1
G13	G1458	1
G176	G192	1
G289	G3245	1
G263	G579	1
G140	G593	1
G2505	G274	1
G278	G2794	1
G1308	G202	1
G1535	G179	1
G183	G2932	1
G278	G3812	1
G172	G2187	1
G278	G2844	1
G244	G3433	1
G172	G433	1
G4447	G55	1
G1089	G199	1
G236	G657	1
G251	G964	1
G254	G666	1
G113	G1371	1
G106	G43	1
G1715	G236	1
G1188	G299	1
G3544	G56	1
G2132	G236	1
G172	G3	1
G2819	G305	1
G280	G2897	1
G147	G3718	1
G179	G3919	1
G199	G3668	1
G23	G2877	1
G168	G665	1
G4404	G73	1
G1838	G56	1
G106	G3068	1
G3	G3303	1
G283	G3993	1
G188	G93	1
G263	G4151	1
G278	G3668	1
G3129	G86	1
G69	G992	1
G1838	G305	1
G172	G4265	1
