TF	target	importance	rho	context
7.0361	6.9383	0.1790262082141199	0.2274085442062585	positive tf2g
7.0361	7.2342	0.4363408645474819	0.3349278538735656	positive tf2g
7.0361	9.4036	0.2122345657556806	0.20397362646082984	positive tf2g
7.0361	7.0138	1.0260564224384563	0.3255605394733565	positive tf2g
7.6587	8.5945	0.03696146343450604	0.13950145335767053	positive tf2g
7.6587	6.7804	0.1758689906150494	0.5597622649694104	positive tf2g
7.6587	6.802	0.21516322533344004	0.43605307585909603	positive tf2g
7.6587	8.0338	0.10240357755499982	0.5315629684048019	positive tf2g
7.6587	6.9196	0.09564644072751095	0.35650870522135863	positive tf2g
7.6587	7.1855	0.7227518996118579	0.15842946465136334	positive tf2g
6.891	7.0387	0.05338070078420312	0.3214320455564486	positive tf2g
6.891	6.6873	0.9217054509581866	0.5393381635309276	positive tf2g
7.2312	7.0734	0.169580835284943	0.09412569836358567	positive tf2g
7.2312	8.375	0.4854955025691306	0.029465942831293113	positive tf2g
7.2312	7.6232	0.203270317391417	0.17414732126144225	positive tf2g
7.2312	7.4325	0.035400753206794394	0.6067455419832999	positive tf2g
6.7822	7.1151	1.3094964595202687	0.313498736249455	positive tf2g
6.7822	7.1123	0.07715933519011431	0.3890172942706803	positive tf2g
6.7822	6.7913	0.23464053987741576	0.19353754681404195	positive tf2g
6.7822	7.1023	0.04551912880210078	0.5390278359666871	positive tf2g
6.7822	6.8697	0.4068500491944789	0.3803121216775437	positive tf2g
6.7822	7.521	0.0962605822760085	0.39366311698782763	positive tf2g
7.4419	6.7182	0.3703427719988912	0.1652151306540809	positive tf2g
7.4419	7.9835	0.4563923269333777	-0.005055506903213325	negative tf2g
7.4419	6.777	0.5291427160727148	0.07927242575012039	positive tf2g
7.4419	7.3616	1.1204405427085473	0.32712640175519064	positive tf2g
7.4419	7.0731	0.038785366262969904	0.5021404329172221	positive tf2g
7.4419	8.5113	0.20571858003267318	0.4498087889052078	positive tf2g
6.7521	7.6324	0.09244843851385583	0.6139732872519934	positive tf2g
6.7521	6.8892	1.3651135311510125	0.3137274096855431	positive tf2g
6.7521	6.8968	1.1995597600774017	0.17215388774397358	positive tf2g
6.7521	7.5236	0.17051929070598754	0.12182207761158825	positive tf2g
6.7521	7.5484	0.2366476652788393	0.4865487216691158	positive tf2g
6.7521	6.9418	0.08710512926934542	-0.14665576387115292	negative tf2g
6.7521	7.1927	0.587606292773439	0.19751895707517642	positive tf2g
6.7521	6.67	0.3499299609455716	0.12040247169112223	positive tf2g
6.7521	7.0338	0.7958986178905575	0.4580757050085705	positive tf2g
6.7521	6.7376	0.08466708593202987	0.5601053717192013	positive tf2g
6.7521	6.6933	0.39598162960307587	0.2558714499768456	positive tf2g
6.7521	7.6232	0.2668053979617064	0.1515503972867595	positive tf2g
6.7521	6.7458	0.020312798281795018	0.2731688715815471	positive tf2g
6.9829	7.2874	0.5857901071011685	0.3824218322040573	positive tf2g
6.9829	7.2968	0.9083835706038572	0.4442185592972192	positive tf2g
6.9829	6.67	0.08755398625454355	0.2343769333662915	positive tf2g
7.0715	6.8332	0.07719482661154764	0.30752526476900377	positive tf2g
7.0715	7.3538	1.3460900297228664	0.24529980364000697	positive tf2g
7.0715	8.4123	0.5482280565637971	-0.1066001471340095	negative tf2g
7.186	7.7121	0.3483972876526858	0.7224699418971507	positive tf2g
7.186	7.2507	0.2878121361736433	0.5522927969732366	positive tf2g
7.186	7.4209	0.1691276723370338	0.1153387796298932	positive tf2g
7.186	7.1546	0.143766112793625	0.08470463800457415	positive tf2g
7.186	7.2165	0.5939182093613475	0.20411965725880116	positive tf2g
7.186	6.84	0.4788698069062052	-0.1848500647874401	negative tf2g
7.1048	6.8496	0.12945038030036332	0.2243090692845085	positive tf2g
7.1048	7.2677	1.276956805968356	-0.04605254609686904	negative tf2g
7.1048	7.521	0.3485129272307533	0.5667771491001146	positive tf2g
7.1048	7.0784	0.4645249594014763	0.171777147955071	positive tf2g
7.1048	7.182	0.35153088815610395	0.8648661182006092	positive tf2g
7.1048	7.032	0.09704238267797637	0.3359244545263847	positive tf2g
6.8277	6.9362	0.3024478547320847	0.5690295240904829	positive tf2g
6.8277	6.7497	0.5551509329235709	0.10002438515689133	positive tf2g
6.8277	6.8223	2.3395460905008956	-0.005844502945308194	negative tf2g
6.8277	6.7106	0.14225494602002073	0.5441281397384325	positive tf2g
6.8277	6.8606	0.1367076401977804	0.3045765754691806	positive tf2g
6.8277	6.9864	0.2682544472826357	0.22214981528660727	positive tf2g
6.777	7.9835	0.948518638049875	0.7762890775352222	positive tf2g
6.777	7.1802	0.9363351203609924	0.5085062546253999	positive tf2g
6.777	7.284	0.9511617174661581	0.20992910855850078	positive tf2g
6.777	6.9418	0.27576351332543997	-0.12501898027752695	negative tf2g
6.777	6.9276	2.927051726295144	0.3634905893834052	positive tf2g
6.777	6.8607	0.7401069533322301	0.23315424427361287	positive tf2g
6.7691	7.1277	0.5230503040168836	0.4425519557907486	positive tf2g
6.7691	6.6327	0.5072900683197585	0.24800321494945893	positive tf2g
6.7691	7.4963	0.5961986687749041	0.3056856527423437	positive tf2g
6.7691	6.7915	0.2358359428934184	-0.002357429193787175	negative tf2g
6.7691	7.2791	0.11390056128824419	0.4069941344727539	positive tf2g
6.7691	8.5113	0.20804935070672723	-0.07494565611228166	negative tf2g
6.7691	9.2627	0.3617305141425589	0.25691877440580135	positive tf2g
7.4025	6.7904	0.031739267671803975	0.27194339332852635	positive tf2g
7.4025	7.0914	0.20566947582693654	0.19496829386034786	positive tf2g
7.4025	8.1795	0.6328124562444947	0.15501919363504132	positive tf2g
7.4025	7.0138	0.3966075126193598	0.12089082305653873	positive tf2g
7.4025	6.8642	0.0780434905703618	0.19741307964429944	positive tf2g
7.4025	7.9835	0.2609161611766898	0.3977226192832915	positive tf2g
7.4025	7.9494	0.2197348836977376	0.310315817905274	positive tf2g
7.327	7.5236	0.0067569084027482035	0.5939361194407433	positive tf2g
7.327	9.9524	0.27483180650831784	0.7006413898538688	positive tf2g
7.327	6.8535	0.044826185716114506	0.34456452677170046	positive tf2g
7.327	7.8162	0.30894636492881894	0.06481729686607449	positive tf2g
7.327	7.2699	0.6303661896428128	0.4541002036784203	positive tf2g
6.6822	6.8892	0.5363026145658042	0.37372335538866214	positive tf2g
6.6822	6.8496	0.7493753205441988	-0.07264398674769634	negative tf2g
6.6822	7.1483	0.19374448405107436	0.03997479135847981	positive tf2g
6.6822	7.8576	0.1469234039197159	0.14685534533945901	positive tf2g
6.6822	7.9043	1.4866317576042853	0.09558044249867781	positive tf2g
