Gene1	Gene2	Type	Strength	Correlation	Score	Source	Region
7.0361	6.9383	TF_regulation	0.1790262082141199	0.2274085442062585	0.040712089384739525	TF_to_gene	
7.0361	7.2342	TF_regulation	0.4363408645474819	0.3349278538735656	0.1461427093202243	TF_to_gene	
7.0361	9.4036	TF_regulation	0.2122345657556806	0.2039736264608298	0.043290254037525615	TF_to_gene	
7.0361	7.0138	TF_regulation	1.0260564224384563	0.3255605394733565	0.334043482419166	TF_to_gene	
7.6587	8.5945	TF_regulation	0.036961463434506	0.1395014533576705	0.0051561778673399825	TF_to_gene	
7.6587	6.7804	TF_regulation	0.1758689906150494	0.5597622649694104	0.09844482452456403	TF_to_gene	
7.6587	6.802	TF_regulation	0.21516322533344	0.436053075859096	0.09382258621841028	TF_to_gene	
7.6587	8.0338	TF_regulation	0.1024035775549998	0.5315629684048019	0.054433949660407044	TF_to_gene	
7.6587	6.9196	TF_regulation	0.0956464407275109	0.3565087052213586	0.03409878874279633	TF_to_gene	
7.6587	7.1855	TF_regulation	0.7227518996118579	0.1584294646513633	0.11450519653126251	TF_to_gene	
6.891	7.0387	TF_regulation	0.0533807007842031	0.3214320455564486	0.017158267846303123	TF_to_gene	
6.891	6.6873	TF_regulation	0.9217054509581866	0.5393381635309276	0.49711092523623374	TF_to_gene	
7.2312	7.0734	TF_regulation	0.169580835284943	0.0941256983635856	0.015961914550275437	TF_to_gene	
7.2312	8.375	TF_regulation	0.4854955025691306	0.0294659428312931	0.014305582723551914	TF_to_gene	
7.2312	7.6232	TF_regulation	0.203270317391417	0.1741473212614422	0.03539898126567841	TF_to_gene	
7.2312	7.4325	TF_regulation	0.0354007532067943	0.6067455419832999	0.021479249191073448	TF_to_gene	
6.7822	7.1151	TF_regulation	1.3094964595202687	0.313498736249455	0.41052548518273985	TF_to_gene	
6.7822	7.1123	TF_regulation	0.0771593351901143	0.3890172942706803	0.03001631580338275	TF_to_gene	
6.7822	6.7913	TF_regulation	0.2346405398774157	0.1935375468140419	0.045411754470997406	TF_to_gene	
6.7822	7.1023	TF_regulation	0.0455191288021007	0.5390278359666871	0.02453607749328524	TF_to_gene	
6.7822	6.8697	TF_regulation	0.4068500491944789	0.3803121216775437	0.1547300054137653	TF_to_gene	
6.7822	7.521	TF_regulation	0.0962605822760085	0.3936631169878276	0.03789424086183674	TF_to_gene	
7.4419	6.7182	TF_regulation	0.3703427719988912	0.1652151306540809	0.0611862294625913	TF_to_gene	
7.4419	7.9835	TF_regulation	0.4563923269333777	-0.0050555069032133	0.002307294559385272	TF_to_gene	
7.4419	6.777	TF_regulation	0.5291427160727148	0.0792724257501203	0.041946426671091275	TF_to_gene	
7.4419	7.3616	TF_regulation	1.120440542708547	0.3271264017551906	0.36652568311687994	TF_to_gene	
7.4419	7.0731	TF_regulation	0.0387853662629699	0.5021404329172221	0.019475700606140726	TF_to_gene	
7.4419	8.5113	TF_regulation	0.2057185800326731	0.4498087889052078	0.09253402533979575	TF_to_gene	
6.7521	7.6324	TF_regulation	0.0924484385138558	0.6139732872519934	0.056760871695665835	TF_to_gene	
6.7521	6.8892	TF_regulation	1.3651135311510123	0.3137274096855431	0.428273532054692	TF_to_gene	
6.7521	6.8968	TF_regulation	1.1995597600774015	0.1721538877439735	0.20650887627855277	TF_to_gene	
6.7521	7.5236	TF_regulation	0.1705192907059875	0.1218220776115882	0.02077301426665778	TF_to_gene	
6.7521	7.5484	TF_regulation	0.2366476652788393	0.4865487216691158	0.11514061902740005	TF_to_gene	
6.7521	6.9418	TF_regulation	0.0871051292693454	-0.1466557638711529	0.012774469270091368	TF_to_gene	
6.7521	7.1927	TF_regulation	0.587606292773439	0.1975189570751764	0.11606338211942042	TF_to_gene	
6.7521	6.67	TF_regulation	0.3499299609455716	0.1204024716911222	0.04213243221662468	TF_to_gene	
6.7521	7.0338	TF_regulation	0.7958986178905575	0.4580757050085705	0.364581820505564	TF_to_gene	
6.7521	6.7376	TF_regulation	0.0846670859320298	0.5601053717192013	0.04742248963834111	TF_to_gene	
6.7521	6.6933	TF_regulation	0.3959816296030758	0.2558714499768456	0.1013203937307332	TF_to_gene	
6.7521	7.6232	TF_regulation	0.2668053979617064	0.1515503972867595	0.04043446405934858	TF_to_gene	
6.7521	6.7458	TF_regulation	0.020312798281795	0.2731688715815471	0.005548824185301529	TF_to_gene	
6.9829	7.2874	TF_regulation	0.5857901071011685	0.3824218322040573	0.22401892604463983	TF_to_gene	
6.9829	7.2968	TF_regulation	0.9083835706038572	0.4442185592972192	0.40352084102290925	TF_to_gene	
6.9829	6.67	TF_regulation	0.0875539862545435	0.2343769333662915	0.020520634802334344	TF_to_gene	
7.0715	6.8332	TF_regulation	0.0771948266115476	0.3075252647690037	0.02373935949251351	TF_to_gene	
7.0715	7.3538	TF_regulation	1.3460900297228664	0.2452998036400069	0.3301956199727902	TF_to_gene	
7.0715	8.4123	TF_regulation	0.5482280565637971	-0.1066001471340095	0.05844119149269286	TF_to_gene	
7.186	7.7121	TF_regulation	0.3483972876526858	0.7224699418971507	0.2517065681675608	TF_to_gene	
7.186	7.2507	TF_regulation	0.2878121361736433	0.5522927969732366	0.1589565696901835	TF_to_gene	
7.186	7.4209	TF_regulation	0.1691276723370338	0.1153387796298932	0.019506979328997923	TF_to_gene	
7.186	7.1546	TF_regulation	0.143766112793625	0.0847046380045741	0.012177656541508776	TF_to_gene	
7.186	7.2165	TF_regulation	0.5939182093613475	0.2041196572588011	0.12123038133459914	TF_to_gene	
7.186	6.84	TF_regulation	0.4788698069062052	-0.1848500647874401	0.08851911483136095	TF_to_gene	
7.1048	6.8496	TF_regulation	0.1294503803003633	0.2243090692845085	0.029036894323700164	TF_to_gene	
7.1048	7.2677	TF_regulation	1.276956805968356	-0.046052546096869	0.05880711217056832	TF_to_gene	
7.1048	7.521	TF_regulation	0.3485129272307533	0.5667771491001146	0.19752916332038203	TF_to_gene	
7.1048	7.0784	TF_regulation	0.4645249594014763	0.171777147955071	0.07979477267993075	TF_to_gene	
7.1048	7.182	TF_regulation	0.3515308881561039	0.8648661182006092	0.3040271546671821	TF_to_gene	
7.1048	7.032	TF_regulation	0.0970423826779763	0.3359244545263847	0.03259890946703987	TF_to_gene	
6.8277	6.9362	TF_regulation	0.3024478547320847	0.5690295240904829	0.17210175884038567	TF_to_gene	
6.8277	6.7497	TF_regulation	0.5551509329235709	0.1000243851568913	0.05552863073495478	TF_to_gene	
6.8277	6.8223	TF_regulation	2.339546090500896	-0.0058445029453081	0.013673484016616536	TF_to_gene	
6.8277	6.7106	TF_regulation	0.1422549460200207	0.5441281397384325	0.07740491914646501	TF_to_gene	
6.8277	6.8606	TF_regulation	0.1367076401977804	0.3045765754691806	0.041637944891912845	TF_to_gene	
6.8277	6.9864	TF_regulation	0.2682544472826357	0.2221498152866072	0.05959267591364843	TF_to_gene	
6.777	7.9835	TF_regulation	0.948518638049875	0.7762890775352222	0.7363246585567028	TF_to_gene	
6.777	7.1802	TF_regulation	0.9363351203609924	0.5085062546253999	0.47613226512899126	TF_to_gene	
6.777	7.284	TF_regulation	0.951161717466158	0.2099291085585007	0.19967653144264305	TF_to_gene	
6.777	6.9418	TF_regulation	0.2757635133254399	-0.1250189802775269	0.034475673233694694	TF_to_gene	
6.777	6.9276	TF_regulation	2.927051726295144	0.3634905893834052	1.0639557571467357	TF_to_gene	
6.777	6.8607	TF_regulation	0.7401069533322301	0.2331542442736128	0.17255907738582213	TF_to_gene	
6.7691	7.1277	TF_regulation	0.5230503040168836	0.4425519557907486	0.23147693501961747	TF_to_gene	
6.7691	6.6327	TF_regulation	0.5072900683197585	0.2480032149494589	0.12580956785523076	TF_to_gene	
6.7691	7.4963	TF_regulation	0.5961986687749041	0.3056856527423437	0.18224937922857296	TF_to_gene	
6.7691	6.7915	TF_regulation	0.2358359428934184	-0.0023574291937871	0.0005559665367212518	TF_to_gene	
6.7691	7.2791	TF_regulation	0.1139005612882441	0.4069941344727539	0.04635686035746977	TF_to_gene	
6.7691	8.5113	TF_regulation	0.2080493507067272	-0.0749456561122816	0.015592395092449848	TF_to_gene	
6.7691	9.2627	TF_regulation	0.3617305141425589	0.2569187744058013	0.0929353603586866	TF_to_gene	
7.4025	6.7904	TF_regulation	0.0317392676718039	0.2719433933285263	0.008631284152432746	TF_to_gene	
7.4025	7.0914	TF_regulation	0.2056694758269365	0.1949682938603478	0.04009902680112986	TF_to_gene	
7.4025	8.1795	TF_regulation	0.6328124562444947	0.1550191936350413	0.09809807668923141	TF_to_gene	
7.4025	7.0138	TF_regulation	0.3966075126193598	0.1208908230565387	0.04794620863096096	TF_to_gene	
7.4025	6.8642	TF_regulation	0.0780434905703618	0.1974130796442994	0.015406805819685966	TF_to_gene	
7.4025	7.9835	TF_regulation	0.2609161611766898	0.3977226192832915	0.10377225903653452	TF_to_gene	
7.4025	7.9494	TF_regulation	0.2197348836977376	0.310315817905274	0.0681872101569837	TF_to_gene	
7.327	7.5236	TF_regulation	0.0067569084027482	0.5939361194407433	0.004013171956144817	TF_to_gene	
7.327	9.9524	TF_regulation	0.2748318065083178	0.7006413898538688	0.1925585388880373	TF_to_gene	
7.327	6.8535	TF_regulation	0.0448261857161145	0.3445645267717004	0.015445513468253349	TF_to_gene	
7.327	7.8162	TF_regulation	0.3089463649288189	0.0648172968660744	0.02002506825128581	TF_to_gene	
7.327	7.2699	TF_regulation	0.6303661896428128	0.4541002036784203	0.286249415108791	TF_to_gene	
6.6822	6.8892	TF_regulation	0.5363026145658042	0.3737233553886621	0.2004288126192447	TF_to_gene	
6.6822	6.8496	TF_regulation	0.7493753205441988	-0.0726439867476963	0.05443761085466344	TF_to_gene	
6.6822	7.1483	TF_regulation	0.1937444840510743	0.0399747913584798	0.007744895326798012	TF_to_gene	
6.6822	7.8576	TF_regulation	0.1469234039197159	0.146855345339459	0.0215764872210787	TF_to_gene	
6.6822	7.9043	TF_regulation	1.4866317576042851	0.0955804424986778	0.14209292122440467	TF_to_gene	
6.6822	7.2304	TF_regulation	0.6405143655334483	0.3804713652642484	0.24369737512587494	TF_to_gene	
6.6822	7.0592	TF_regulation	0.6401051117178751	0.1294361207855472	0.08285272255576107	TF_to_gene	
6.6822	6.5664	TF_regulation	0.2621171290852531	0.3777317044737361	0.09900994994113496	TF_to_gene	
6.6822	7.182	TF_regulation	0.056447934569589	0.4040336197892033	0.02280686333377515	TF_to_gene	
6.6822	7.1794	TF_regulation	0.3538299276828979	0.5122750673258369	0.18125825002565255	TF_to_gene	
6.8412	6.9947	TF_regulation	0.3525930078589996	0.110978226777396	0.039130146786300224	TF_to_gene	
6.8412	7.3804	TF_regulation	0.2695342492455715	0.2496305789341298	0.06728399068174805	TF_to_gene	
6.8412	6.8558	TF_regulation	0.0377727049768694	0.2634395135187265	0.009950823023392855	TF_to_gene	
7.7375	6.9991	TF_regulation	0.041708505742605	0.1255400355878982	0.005236087295244688	TF_to_gene	
7.7375	8.0477	TF_regulation	0.1387535477426206	0.3322231917712355	0.04609714650063593	TF_to_gene	
7.7375	6.9094	TF_regulation	1.315329777428708	0.6074275621763601	0.7989675601614944	TF_to_gene	
7.7375	7.242	TF_regulation	0.2799654010722795	0.2704367469848458	0.07571293233429494	TF_to_gene	
7.7375	6.803	TF_regulation	1.9375630408123703	0.5141825886749174	0.9962611800457492	TF_to_gene	
7.7375	6.9317	TF_regulation	1.6073719539890283	0.4505696662400542	0.7242330448324602	TF_to_gene	
7.7375	8.4421	TF_regulation	0.9406606362378984	0.2333370010983992	0.2194909319110634	TF_to_gene	
7.7375	7.7912	TF_regulation	0.1182919835303047	0.1689187920790784	0.019981738970577305	TF_to_gene	
7.7375	7.1619	TF_regulation	0.906115965391953	0.3381265191262421	0.3063818373026955	TF_to_gene	
7.5995	6.9727	TF_regulation	0.0178045154883899	0.1220310458117716	0.002172703645220105	TF_to_gene	
7.5995	6.9646	TF_regulation	1.2004316334566394	0.1078440883510219	0.12945945513785936	TF_to_gene	
7.5995	7.088	TF_regulation	0.5238304206459038	0.3783762524491169	0.19820499148284157	TF_to_gene	
6.6175	7.0175	TF_regulation	0.9151339073030156	0.093080408078669	0.08518103753839154	TF_to_gene	
6.6175	7.581	TF_regulation	0.2234390460802378	0.3631045881840506	0.08113174281120185	TF_to_gene	
6.6175	6.8449	TF_regulation	0.7660452083591067	0.2904282144694485	0.22248114206661201	TF_to_gene	
6.6175	8.5945	TF_regulation	1.1375050554649362	-0.0033325092571843	0.0037907461274308404	TF_to_gene	
6.6175	6.8109	TF_regulation	0.2653980781572181	0.2301476229304077	0.0610807368181823	TF_to_gene	
6.6175	7.9793	TF_regulation	0.6295523737723073	0.2363397971791331	0.1487882803309889	TF_to_gene	
6.6175	7.4548	TF_regulation	0.0238791960569995	0.1916758473381624	0.004577065137979485	TF_to_gene	
