"Gene","entropy_int","entropy_ext","entropy_tot"
"G3874",2.10065954616355,0.427693095028855,2.52835264119241
"G938",2.0849206870274,0.429066900136304,2.5139875871637
"G495",1.98260887223072,0.550532208321159,2.53314108055187
"G159",1.87135839744232,0.427360073768688,2.29871847121101
"G1530",1.80234503400937,0.478201028335819,2.28054606234519
"G4175",1.7999460822587,0.447328643821395,2.2472747260801
"G1768",1.76358027701957,0.492973578458403,2.25655385547798
"G1891",1.75198484455494,0.590402382981571,2.34238722753651
"G525",1.69897954189778,0.47565302240063,2.17463256429841
"G4271",1.65797159568125,0.981728785763249,2.6397003814445
"G3338",1.6267880308812,0.427330398736074,2.05411842961727
"G884",1.6251294442701,0.465857135236964,2.09098657950707
"G1792",1.61538660458785,0.49782630113265,2.1132129057205
"G2572",1.59909290917682,0.460224710160398,2.05931761933722
"G2327",1.59411376657074,0.462823466443384,2.05693723301412
"G329",1.58887031000132,0.48596272589222,2.07483303589354
"G4213",1.57616320826785,0.643232133104401,2.21939534137225
"G2808",1.55930240431292,0.569130411220015,2.12843281553294
"G1062",1.5565338608785,0.498652868075106,2.05518672895361
"G2314",1.55585265544253,0.859524837338677,2.41537749278121
"G3839",1.5521797712531,0.635394557775296,2.1875743290284
"G1339",1.53182792224112,0.459024973028334,1.99085289526945
"G3442",1.52903283105255,0.552689370041889,2.08172220109444
"G3286",1.52165152731212,0.433060422442489,1.95471194975461
"G1408",1.51412520983369,0.542757498670674,2.05688270850437
"G3385",1.50462466192968,0.476792210507121,1.9814168724368
"G194",1.48792628779559,0.482589508105355,1.97051579590094
"G1549",1.48209315751331,0.509975909329337,1.99206906684265
"G3162",1.47704511849243,0.865329349227229,2.34237446771966
"G431",1.47217424400701,0.554599844621309,2.02677408862832
"G2558",1.4708077245087,0.499160101795516,1.96996782630422
"G4082",1.47037162082205,0.433423404476743,1.90379502529879
"G4134",1.46946494122977,0.734458940818535,2.2039238820483
"G3468",1.46059360760446,0.439399291271147,1.8999928988756
"G3647",1.45839224305597,0.489503267345412,1.94789551040138
"G2760",1.45820972268521,0.453732668104917,1.91194239079012
"G259",1.4349981584552,0.817643441603929,2.25264160005913
"G851",1.43289414478625,0.570195604884042,2.00308974967029
"G4351",1.41867048286363,0.556015985130528,1.97468646799416
"G2929",1.41406890526991,0.842137036961806,2.25620594223171
"G1457",1.41248079300377,0.566273729899039,1.97875452290281
"G1051",1.40788419483351,0.577034584424684,1.9849187792582
"G3630",1.39547231511126,0.455884374847699,1.85135668995896
"G3200",1.38669515114881,0.643095639663872,2.02979079081268
"G593",1.38631840233716,0.656421028799874,2.04273943113703
"G663",1.38619603614122,0.487863387710319,1.87405942385154
"G2744",1.38522565984642,0.480570011177023,1.86579567102344
"G3751",1.38053326896262,0.488621915087186,1.8691551840498
"G835",1.37405239183293,0.474965608125741,1.84901799995867
"G2723",1.36550943686466,0.534003155449963,1.89951259231463
"G3140",1.36362151865562,0.493864996152797,1.85748651480841
"G50",1.36207505977305,0.427707069883837,1.78978212965688
"G1080",1.36190932036807,0.491777942695719,1.85368726306379
"G3828",1.35999653105249,0.563127010582036,1.92312354163453
"G702",1.35599104975734,0.582990711212152,1.93898176096949
"G3201",1.35012152135821,0.476278364671032,1.82639988602925
"G796",1.34966321778331,0.558996584871549,1.90865980265486
"G3463",1.3438269823165,0.442928271284286,1.78675525360078
"G2839",1.34117769907661,0.42704884403143,1.76822654310804
"G1752",1.34061048340572,0.429440389420288,1.77005087282601
"G1027",1.33975288231383,0.545382418802203,1.88513530111603
"G2878",1.33779415387218,0.717593521995756,2.05538767586793
"G2291",1.33777386737822,0.449830346036682,1.7876042134149
"G847",1.33563723616872,0.470761006369266,1.80639824253799
"G3133",1.32764250067729,0.443345161483264,1.77098766216056
"G534",1.32476278879876,0.66879592907818,1.99355871787694
"G2479",1.324294625953,0.496111391130315,1.82040601708332
"G3046",1.32428949239475,0.518132422164622,1.84242191455938
"G3371",1.32036776842001,0.601581758681489,1.9219495271015
"G4356",1.31637430126151,0.595469632171093,1.9118439334326
"G776",1.31574943167337,0.444979744256548,1.76072917592991
"G2150",1.31357304206122,0.442809537311619,1.75638257937284
"G7",1.30896800074202,0.56466403650258,1.8736320372446
"G700",1.30644596069644,0.582494979691273,1.88894094038772
"G3304",1.30600911273118,0.558899880097655,1.86490899282883
"G3879",1.30013211644059,0.532903932472647,1.83303604891324
"G1351",1.29866458346403,0.435877438194177,1.7345420216582
"G76",1.29821740108467,0.494825640874876,1.79304304195955
"G4173",1.29105573179146,0.558532358608384,1.84958809039984
"G2174",1.28788063682738,0.435524900423445,1.72340553725083
"G2966",1.28763397537578,0.60048508311813,1.88811905849391
"G2709",1.28680430747119,0.948832014945562,2.23563632241676
"G2693",1.28604146987925,0.427563733812895,1.71360520369214
"G2429",1.28329790534343,0.426602644067282,1.70990054941071
"G3592",1.28258517283739,0.509547460102667,1.79213263294006
"G1498",1.27809755355702,0.568574002320063,1.84667155587708
"G2861",1.27562064802426,0.573756525790587,1.84937717381485
"G4083",1.270973899579,0.581836430395437,1.85281032997444
"G1239",1.27080779698748,0.585116724455177,1.85592452144265
"G13",1.26023244119318,0.612973528635626,1.87320596982881
"G3562",1.25794870543899,0.55468292087178,1.81263162631077
"G639",1.25295190809003,0.500738098104916,1.75369000619494
"G2129",1.25000916087914,0.593506035027363,1.84351519590651
"G1532",1.24774729218963,0.541515494364972,1.7892627865546
"G1349",1.24641870184278,0.515912726423867,1.76233142826665
"G1658",1.24602219561705,0.484373205436314,1.73039540105336
"G353",1.24373644580394,0.583624313935499,1.82736075973944
"G3489",1.24293601892843,0.481452699083114,1.72438871801154
"G2543",1.24223368567732,0.540738425956994,1.78297211163432
"G2680",1.23144304478013,0.519804675332929,1.75124772011305
